,CAND_NAME,CAND_OFFICE_ST,TTL_DISB,Percent,Party,district,fuzz
489, RICHARD BAILEY,CA,402271.98,,,,
490, TYLER GEFFENEY,CA,25666.62,,,CA-52,97
491, SUSAN A. DAVIS,CA,53365.18,,,,
492, GEORGETTE GOMEZ,CA,26344.19,,,,
493, ERIC ROGER KUTNER,CA,29.16,,,,
494, BILL D. WELLS,CA,18074.44,,,,
495, CRISANTA DESIRAE DURAN,CO,2339.0,,,,
496, NEAL WALIA,CO,193177.69,,,,
497, DIANA L DEGETTE,CO,1027803.67,,,CO-1,90
498, SHANE BOLLING,CO,30.0,,,,
499, DOM WATERS,CO,3907.25,,,,
500, JOSEPH NEGUSE,CO,1337156.99,,,CO-2,83
501, KRISTOPHER WILLIAM DR. LARSEN,CO,0.0,,,,
502, MARSHALL DAWSON,CO,34698.33,,,CO-2,97
503, STEPHEN ANDREW YURASH,CO,41312.49,,,,
504, DONALD VALDEZ,CO,336777.27,,,,
505, COLIN WILHELM,CO,275892.91,,,,
506, GREGG HARRISON SMITH,CO,61203.99,,,,
507, KERRY DONOVAN,CO,1583535.05,,,,
508, SOLEDAD SANDOVAL TAFOYA,CO,977522.63,,,,
509, DEBORA LYNN BURNETT,CO,250673.8,,,,
510, KELLIE RHODES,CO,14084.25,,,,
511, COLIN BUERGER,CO,86190.95,,,,
512, SCOTT YATES,CO,85240.96,,,,
513, ADAM FRISCH,CO,6155634.45,,,CO-3,96
514, DIANE MITSCH MS. BUSH,CO,29352.97,,,,
515, ROOT ROUTLEDGE,CO,935.16,,,,
516, LAUREN BOEBERT,CO,7157209.74,,,CO-3,97
517, MARINA ZIMMERMAN,CO,42385.03,,,,
518, DON CORAM,CO,210001.2,,,,
519, SCOTT R. TIPTON,CO,27678.16,,,,
520, KRISTIN ELISE SKOWRONSKI,CO,4953.78,,,,
521, ISAAC IAN MCCORKLE,CO,267803.82,,,CO-4,65
522, CORY GARDNER,CO,79357.32,,,,
523, BOB LEWIS,CO,42710.0,,,,
524, KENNETH R BUCK,CO,1276334.63,,,CO-4,70
525, SANTIAGO DAVID GOENAGA-TORRES,CO,21776.83,,,,
526, JEREMY J DOWELL,CO,2268.29,,,,
527, MICHAEL CHRISTOPHER MR COLOMBE,CO,7079.8,,,,
528, STEPHANY ROSE SPAULDING,CO,606.0,,,,
529, REBECCA KELTIE,CO,8994.23,,,,
530, DAVID WILLIAMS,CO,216456.61,,,,
531, ANDREW DAVID HEATON,CO,13921.09,,,,
532, DOUGLAS LAMBORN,CO,729903.02,,,CO-5,86
533, CHRISTOPHER MITCHELL,CO,165.0,,,,
534, MARCUS MURPHY,CO,645.91,,,,
535, PERRY HANEY,CO,0.0,,,,
536, JASON CROW,CO,2376329.75,,,CO-6,95
537, JAIMIE KULIKOWSKI,CO,0.0,,,,
538, STEVEN HOUSE,CO,1468.37,,,,
539, BRIAN SMITH,CO,0.0,,,,
540, STEVEN EDWARD MONAHAN,CO,258207.39,,,CO-6,78
541, WILLIAM L III ARMSTRONG,CO,0.0,,,,
542, ERIC MULDER,CO,5257.41,,,,
543, KYLE ALEXANDER FAUST,CO,372.0,,,,
544, EDWIN G PERLMUTTER,CO,1113621.89,,,,
545, BRITTANY LOUISE MS. PETTERSEN,CO,2865701.44,,,CO-7,75
546, DOMINICK MORENO,CO,2600.0,,,,
547, CASPER WESLEY STOCKHAM,CO,0.0,,,,
548, LAUREL ANNE IMER,CO,88399.74,,,,
549, ERIK AADLAND,CO,1472390.01,,,CO-7,96
550, CARL E ANDERSEN,CO,264851.05,,,,
551, TIM REICHERT,CO,1585826.05,,,,
552, BRAD DEMPSEY,CO,263796.72,,,,
553, YADIRA CARAVEO,CO,3502839.96,,,CO-8,97
554, CHAZ TEDESCO,CO,232519.95,,,,
555, JOHNNY HUMPHREY,CO,14471.92,,,,
556, STEVE DOUGLAS DOUGLAS,CO,5554.88,,,,
557, GIULIANNA GRAY,CO,56884.77,,,,
558, LORI A SAINE,CO,371173.1,,,,
559, BARBARA KIRKMEYER,CO,1554471.64,,,CO-8,97
560, JANIFER SUZANNE KULMANN,CO,499430.44,,,,
561, TYLER ALLCORN,CO,357200.13,,,,
562, TIMOTHY LOUIS LONG,CO,8401.14,,,,
563, ANDREW JOSEPH LEGNANI,CT,4194.48,,,,
564, MUAD HREZI,CT,586637.43,,,,
565, JOHN B LARSON,CT,1839194.58,,,CT-1,93
566, MARY FAY,CT,1718.28,,,,
567, JIM GRIFFIN,CT,1874.3,,,,
568, LAWRENCE ZIDOVSKY DR LAZOR,CT,190652.21,,,,
569, JOSEPH B VISCONTI,CT,0.0,,,,
570, JOSEPH COURTNEY,CT,2491289.77,,,CT-2,86
571, ANTHONY ADELINO MR. DILIZIA,CT,4517.0,,,,
572, JUSTIN ANDERSON,CT,1460.29,,,,
573, MIKE FRANCE,CT,853174.8,,,CT-2,96
574, ROSA L DELAURO,CT,2176815.14,,,CT-3,93
575, JERRY JR. LABRIOLA,CT,0.0,,,,
576, MARGARET STREICKER,CT,1599.75,,,,
577, LESLEY DENARDIS,CT,46977.86,,,CT-3,97
578, PHD  JUSTIN COBB DR MD PAGLINO,CT,16406.94,,,,
579, AMY FOGELSTROM DR CHAI,CT,33875.08,,,,
580, JIM HIMES,CT,1802745.31,,,CT-4,95
581, MICHAEL GOLDSTEIN,CT,235844.17,,,,
582, JAYME MRS. STEVENSON,CT,336547.83,,,CT-4,83
583, CHRISTOPHER SHAYS,CT,225.0,,,,
584, DANIEL FRANCIS ROBERTI,CT,3091.8,,,,
585, ELIZABETH ESTY,CT,11770.73,,,,
586, MARCUS FURZE,CT,1351.43,,,,
587, MARY GLASSMAN,CT,0.0,,,,
588, JAHANA HAYES,CT,3403663.9,,,CT-5,96
589, SHANNON KULA,CT,180.0,,,,
590, DAVID XAVIER SULLIVAN,CT,774.88,,,,
591, GEORGE S LOGAN,CT,1285255.66,,,CT-5,89
592, MICHELLE L BOTELHO,CT,2809.26,,,,
593, JAMES LEONARD GRIFFIN,CT,151.75,,,,
594, ELEANOR HOLMES NORTON,DC,320795.31,,,,
595, WENDY REV HAMILTON,DC,50532.49,,,,
596, KELLY MIKEL WILLIAMS,DC,22702.73,,,,
597, BRUCE POWELL MR. MAJORS,DC,1929.25,,,,
598, JOHN CARNEY,DE,7.56,,,,
599, LISA BLUNT ROCHESTER,DE,3209566.58,,,DE-1,98
600, CHRISTOPHER BROOKS MR. HILL,DE,0.0,,,,
601, LEE MURPHY,DE,355131.66,,,DE-1,95
602, VINCENT DEAN MR JR CORDOVA,FL,0.0,,,,
603, REBEKAH JONES,FL,979519.0,,,FL-1,96
604, MARGARET ANN MS SCHILLER,FL,40994.16,,,,
605, PHILLIP CHARLES EHR,FL,138060.28,,,,
606, GREGORY CHARLES CHARLES MERK,FL,10440.0,,,,
607, BRYAN CHRISTOPHER JONES,FL,103213.42,,,,
608, MARK LOMBARDO,FL,789690.0,,,,
609, MATT GAETZ,FL,7539779.55,,,FL-1,95
610, RALPH JOHN III MILLS,FL,7172.26,,,,
611, ALBERT ORAM,FL,1038.5,,,,
612, ALFRED JR LAWSON,FL,940453.28,,,FL-2,69
613, FACS  NEAL PATRICK MD DUNN,FL,1937935.45,,,,
614, LINDA SUSAN MS. BROOKS,FL,131149.47,,,,
615, ADAM J CHRISTENSEN,FL,903.5,,,,
616, DANIELLE NICOLE HAWK,FL,49881.27,,,FL-3,76
617, TOM BECKWITH DR. WELLS,FL,27747.44,,,,
618, DEAN A BLACK,FL,20730.12,,,,
619, AMY POPE WELLS,FL,1690.47,,,,
620, KAT CAMMACK,FL,2259933.75,,,FL-3,96
621, JAMES ST. GEORGE,FL,0.0,,,,
622, RYAN MR. CHAMBERLIN,FL,3346.25,,,,
623, CHARLES WILLIAM MR ENGELBRECHT,FL,2453.75,,,,
624, DAVID THEUS,FL,0.0,,,,
625, JOE DALLAS MILLADO,FL,1954.92,,,,
626, JUSTIN JAMES MR. WATERS,FL,15894.0,,,,
627, MANUEL P ASENSIO,FL,44645.18,,,,
628, THEODORE SCOTT YOHO,FL,49951.85,,,,
629, JUDSON SAPP,FL,7400.0,,,,
630, CLIFFORD B. STEARNS,FL,731295.78,,,,
631, ANTHONY TONY HILL,FL,35796.51,,,,
632, LASHONDA J HOLLOWAY,FL,0.0,,,FL-4,86
633, ERICK JAVIER AGUILAR,FL,822308.28,,,,
634, JASON FISCHER,FL,52201.0,,,FL-16,67
635, AARON P. BEAN,FL,1065302.38,,,FL-4,83
636, JON CHUBA,FL,17053.44,,,,
637, DEBORAH KATZ PUESCHEL,FL,0.0,,,,
638, ALVIN BROWN,FL,0.0,,,,
639, LEIGHA LUNA GARNER-LOPEZ,FL,53806.39,,,,
640, MARA HEATHER MACIE,FL,21429.11,,,,
641, JOHN RUTHERFORD,FL,647267.7,,,FL-5,97
642, RICHARD THRIPP,FL,7369.87,,,,
643, NANCY SODERBERG,FL,1836.4,,,,
644, G.G. GALLOWAY,FL,0.0,,,,
645, MICHAEL WALTZ,FL,2906229.83,,,FL-6,96
646, ALLEK PASTRANA,FL,12585.71,,,,
647, AL MR. KRULICK,FL,18576.83,,,,
648, HLSIA TATIANA FERNANDEZ,FL,14074.31,,,,
649, KAREN REV. DR. GREEN,FL,32406.6,,,FL-7,69
650, STEPHANIE MURPHY,FL,1690268.65,,,,
651, LEO VALENTIN,FL,17076.15,,,,
652, YUKONG ZHAO,FL,2956.67,,,,
653, SEAN JACKSON,FL,2650.0,,,,
654, JEREMY LIGGETT,FL,28762.38,,,,
655, CORY MILLS,FL,2477531.68,,,FL-7,95
656, BRADY DUKE,FL,3114603.15,,,,
657, JOSEPH CAVAGNA,FL,11988.32,,,,
658, ERIKA BENFIELD,FL,193041.14,,,,
659, SCOTT STURGILL,FL,306460.54,,,,
660, RUSSELL L. MR. ROBERTS,FL,332570.88,,,,
661, AL SANTOS,FL,273893.72,,,,
662, TED EDWARDS,FL,810430.0,,,,
663, ANTHONY SABATINI,FL,1252235.93,,,,
664, MARK BUSCH,FL,0.0,,,,
665, JONATHAN SCOTT STURGILL,FL,5300.0,,,,
666, AL KRULICK,FL,18576.83,,,,
667, JAMES KENNEDY,FL,1495.69,,,,
668, JOANNE R TERRY,FL,89159.95,,,FL-8,89
669, DANELLE DODGE,FL,76854.98,,,,
670, PHD MD  DENA MD GRAYSON,FL,1756.44,,,,
671, PATRICK LEE WELLS,FL,510.37,,,,
672, BILL POSEY,FL,704024.01,,,FL-8,95
673, KEVIN COPELAND PARKER,FL,7500.71,,,,
674, DARREN SOTO,FL,1410179.97,,,FL-9,96
675, SERGIO E ORTIZ,FL,5677.88,,,,
676, WILLIAM OLSON,FL,151085.47,,,,
677, JOSE CASTILLO,FL,107828.37,,,,
678, CHRISTOPHER ROBERT WRIGHT,FL,590.94,,,,
679, BECKY E HITES,FL,0.0,,,,
680, SCOTTY MOORE,FL,599213.36,,,FL-9,96
681, MARLIN DANIEL ANTHONY,FL,32450.23,,,,
682, ADIANIS MORALES,FL,19269.6,,,,
683, VALDEZ 'VAL' DEMINGS,FL,81065470.43,,,,
684, NATALIE JACKSON,FL,110805.47,,,,
685, ARAMIS AYALA,FL,205978.54,,,,
686, RANDOLPH BRACY,FL,545956.89,,,,
687, JACK JOSEPH ACHENBACH,FL,5860.99,,,,
688, TERENCE R MR. I GRAY,FL,334265.25,,,,
689, TERESA DR. TACHON,FL,10681.84,,,,
690, MAXWELL ALEJANDRO FROST,FL,2582449.9,,,FL-10,98
691, JEFFREY MR. BOONE,FL,48817.62,,,,
692, CORRINE BROWN,FL,75316.42,,,,
693, ALAN MARK GRAYSON,FL,856254.54,,,,
694, WILLIE MONTAGUE,FL,211039.41,,,,
695, LATERESA ANN JONES,FL,17683.07,,,,
696, TUAN A LE,FL,35598.08,,,,
697, MAHENDRANATH TROY RAMBARANSINGH,FL,11879.28,,,,
698, WILLIAM KING,FL,698.14,,,,
699, CALVIN B MR WIMBISH,FL,249144.76,,,FL-10,86
700, PETER WEED,FL,19350.0,,,,
701, THUY LOWE,FL,31993.23,,,,
702, VENNIA V. FRANCOIS,FL,10298.96,,,,
703, JASON KYLE HOLIC,FL,10419.38,,,,
704, USHA DR. JAIN,FL,4468.09,,,,
705, SHANTE MUNNS,FL,20677.59,,,FL-11,96
706, DANIEL WEBSTER,FL,754477.27,,,FL-11,97
707, TONY BUNTYN,FL,0.0,,,,
708, LAURA LOOMER,FL,872308.62,,,FL-15,61
709, GAVRIEL ELIYAHU SORIANO,FL,26393.86,,,,
710, JEANNETTE RENEE SKINNER,FL,28889.71,,,,
711, KEVIN DEAN PORTER,FL,14732.39,,,,
712, KIMBERLY H MS WALKER,FL,21911.66,,,FL-12,83
713, MICHAEL CARNEVALE,FL,5529.12,,,FL-6,65
714, CHRISTOPHER MR. LEISER,FL,17282.7,,,,
715, GUS M BILIRAKIS,FL,1770681.59,,,FL-12,81
716, JACK MARTIN,FL,1752.98,,,,
717, BEN DIAMOND,FL,793556.3,,,,
718, MICHELE K. MS. RAYNER,FL,566663.51,,,,
719, ERIC LYNN,FL,2071108.94,,,FL-13,95
720, CHARLIE JOSEPH CRIST,FL,862258.48,,,,
721, SHEILA GRIFFIN,FL,0.0,,,,
722, AMANDA MAKKI,FL,827597.15,,,,
723, ANNA PAULINA LUNA,FL,3362825.07,,,FL-13,97
724, WILL BRADDOCK,FL,0.0,,,,
725, MONEER KHEIREDDINE,FL,15075.0,,,,
726, AUDREY HENSON,FL,317931.35,,,,
727, KEVIN HAYSLETT,FL,1729097.32,,,,
728, CHRISTINE YVONNE QUINN,FL,45668.12,,,,
729, GEORGE WILLIAM PHD BUCK,FL,2447.34,,,,
730, FRANK S CRAFT,FL,15522.03,,,,
731, LUCAS OVERBY,FL,0.0,,,,
732, CHRISTOPHER BRADLEY,FL,32809.86,,,,
733, KATHY CASTOR,FL,1623822.77,,,FL-14,96
734, ANGEL SALVADOR URBINA,FL,5075.0,,,,
735, JAMES JUDGE,FL,214963.79,,,FL-14,96
736, SAM NASHAGH,FL,17530.93,,,,
737, CHRIS CHAMBERS,FL,10571.0,,,,
738, JERRY TORRES,FL,654224.67,,,,
739, JESSE PHILIPPE,FL,7214.87,,,,
740, ADAM ROGER HATTERSLEY,FL,2960.29,,,,
741, WILLIAM VANHORN,FL,19232.14,,,,
742, LILAWATIE LILY MRS. RAMCHARRAN,FL,14784.26,,,,
743, EDDIE GELLER,FL,554194.09,,,,
744, GAVIN BROWN,FL,26646.0,,,,
745, CESAR RAMIREZ,FL,10701.31,,,,
746, ALAN COHN,FL,855791.84,,,FL-15,82
747, DENNIS ALAN ROSS,FL,192471.0,,,,
748, KEVIN JOHN MCGOVERN,FL,491044.52,,,,
749, JACKIE TOLEDO,FL,598775.29,,,,
750, DENNIS ROSS,FL,192471.0,,,,
751, KELLI STARGEL,FL,360993.0,,,,
752, LAUREL MRS. LEE,FL,1412802.82,,,FL-15,77
753, VINCENT ROSS SPANO,FL,26434.62,,,,
754, DEMETRIES ANDREW CDR USN RET GRIMES,FL,421920.23,,,,
755, MARGARET ELIZABETH ROWELL GOOD,FL,4155.46,,,,
756, JAN SCHNEIDER,FL,45817.98,,,FL-16,96
757, MARTIN HYDE,FL,218209.79,,,,
758, MARK A FOLEY,FL,501509.37,,,,
759, VERNON BUCHANAN,FL,3173994.96,,,FL-16,90
760, ALLEN ELLISON,FL,96175.11,,,FL-2,61
761, ANDREA DORIA KALE,FL,23269.4,,,FL-17,97
762, ALLEN L ELLISON,FL,82834.52,,,,
763, GREG STEUBE,FL,947188.1,,,FL-17,96
764, PAMELA M. KEITH,FL,8123.24,,,,
765, JONATHAN CHANE,FL,0.0,,,,
766, SCOTT MR. FRANKLIN,FL,766695.11,,,FL-18,85
767, GEORGE SHEPHERD,FL,2512.26,,,,
768, JENNIFER SUSAN RAYBON,FL,137733.54,,,,
769, WENDY JUNE MS. SCHMELING,FL,23238.38,,,,
770, LEONARD LOUIS MR. SERRATORE,FL,33821.71,,,,
771, CARLA ARLENE SPALDING,FL,1960876.32,,,FL-25,78
772, KEITH R. JR HAYDEN,FL,0.0,,,FL-18,79
773, CINDY LYN BANYAI,FL,99369.13,,,FL-19,83
774, WILLIAM MATTHEW MD FIGLESTHALER,FL,15490.52,,,,
775, FORD O'CONNELL,FL,26579.13,,,,
776, CASEY ASKAR,FL,21.5,,,,
777, BYRON DONALDS,FL,5400519.91,,,FL-19,96
778, JIM HUFF,FL,18050.74,,,,
779, LIZBETH BENACQUISTO,FL,0.0,,,,
780, FRANCIS ROONEY,FL,6731.49,,,,
781, PRADEL VILME,FL,52750.0,,,,
782, BARBARA SHARIEF,FL,1021180.52,,,,
783, ELVIN DOWLING,FL,78323.81,,,,
784, DALE HOLNESS,FL,1202144.8,,,,
785, PRISCILLA ANN TAYLOR,FL,66410.21,,,,
786, PERRY THURSTON,FL,548962.59,,,,
787, BOBBY B DUBOSE,FL,434582.35,,,,
788, OMARI HARDY,FL,206765.95,,,,
789, PHIL JACKSON,FL,21643.95,,,,
790, ALCEE L HASTINGS,FL,150681.66,,,,
791, SHEILA CHERFILUS-MCCORMICK,FL,6815741.15,,,FL-20,98
792, GREGORY WAYNE SR. MUSSELWHITE,FL,15968.64,,,,
793, VIC DEGRAMMONT,FL,26462.72,,,,
794, JASON MARINER,FL,127101.6,,,,
795, DREW-MONTEZ DR. CLARK,FL,141482.18,,,FL-20,82
796, MICHAEL TER MAAT,FL,50469.73,,,FL-6,67
797, CORINNA BALDERRAMOS ROBINSON,FL,66504.32,,,FL-21,98
798, AARON SCANLAN,FL,0.0,,,FL-4,67
799, MELISSA MARTZ,FL,343424.84,,,,
800, KEITH DR. FEIT,FL,15651.19,,,,
801, JEFFREY D BUONGIORNO,FL,262684.65,,,,
802, LJUBO DR SKRBIC,FL,32469.64,,,,
803, MARTIN J. MARKS,FL,189872.94,,,,
804, BRIAN MAST,FL,5218760.88,,,FL-21,95
805," W. MICHAEL ""MIKE"" TROUT",FL,1263.95,,,,
806, CHARLESTON MALKEMUS,FL,441.46,,,,
807, THEODORE ELIOT DEUTCH,FL,673921.42,,,,
808, LOIS J. FRANKEL,FL,1799753.83,,,FL-22,86
809, CURTIS CALABRESE,FL,10021.63,,,,
810, DARLENE SWAFFAR,FL,0.0,,,,
811, FRAN FLYNN,FL,2159.7,,,,
812, ROD MR. DORILAS,FL,576672.53,,,,
813, DANIEL JOHN FRANZESE,FL,1606217.92,,,FL-22,73
814, DEBORAH ADEIMY,FL,202087.17,,,,
815, PETER STEVEN ARIANAS,FL,59545.89,,,,
816, WILLIAM WHEELEN,FL,37908.73,,,,
817, CARRIE LAWLOR,FL,17689.75,,,,
818, MICHAEL JOSEPH O'ROURKE,FL,0.0,,,,
819, NICOLAS T MR. KIMAZ,FL,180.67,,,,
820, EDDISON T DR. WALTERS,FL,0.0,,,,
821, JENNIFER PILCHICK PERELMAN,FL,257.4,,,,
822, JARED MOSKOWITZ,FL,1651890.16,,,FL-23,97
823, BEN SORENSEN,FL,824156.81,,,,
824, HAVA HOLZHAUER,FL,116715.41,,,,
825, MICHAELANGELO COLLINS HAMILTON,FL,10979.99,,,,
826, W MICHAEL TROUT,FL,1263.95,,,FL-6,62
827, ALLEN ELLISON,FL,13340.59,,,FL-2,61
828, JAMES L. PRUDEN,FL,230558.76,,,FL-14,67
829, RICHARD MENDELSON,FL,560.0,,,,
830," JOSEPH ""JOE"" KAUFMAN",FL,1328.85,,,FL-6,62
831, CHRISTY MCLAUGHLIN,FL,25999.29,,,,
832, STEVEN CHESS,FL,84295.49,,,,
833, DARLENE SWAFFAR,FL,271747.22,,,,
834, JOE BUDD,FL,171126.62,,,FL-23,94
835, MYLES PERRONE,FL,12601.11,,,,
836, LEWIS SWEZY,FL,0.0,,,,
837, CARLOS JOSE JR. REYES,FL,0.0,,,,
838, CHRISTINE SCOTT,FL,102745.14,,,,
839, MARK NOAH NAPIER,FL,28535.94,,,,
840, FREDERICA S. WILSON,FL,472132.57,,,FL-24,89
841, KEVIN COREY HARRIS,FL,18418.85,,,,
842, AUDREY EDMONSON,FL,33280.82,,,,
843, LAVERN SPICER,FL,288523.61,,,,
844, MELINDA ALMONTE,FL,11025.0,,,,
845, PATRICIA GONZALEZ,FL,48.1,,,,
846, JESUS NAVARRO,FL,15910.7,,,FL-24,87
847, CHRISTINE ALEXANDRIA OLIVO,FL,131107.15,,,FL-26,98
848, ADAM GENTLE,FL,91600.44,,,,
849, ROBERT MILLWEE,FL,20820.18,,,,
850, DEBBIE WASSERMAN SCHULTZ,FL,1863026.33,,,FL-25,98
851, MARY BARZEE FLORES,FL,0.0,,,,
852, DARREN DIONE MR. AQUINO,FL,25300.43,,,,
853, CARLA A SPALDING,FL,1960876.32,,,FL-25,90
854, RUBIN MR. YOUNG,FL,17697.74,,,,
855, CHRISTINE ALEXANDRIA OLIVO,FL,131107.15,,,FL-26,98
856, DEBBIE MUCARSEL-POWELL,FL,22406.65,,,,
857, DAVID RIVERA,FL,870.78,,,,
858, MARIO DIAZ-BALART,FL,1467060.43,,,FL-26,97
859, RUTH ANN SWANSON,FL,4266.52,,,,
860, DENNIS MISIGOY,FL,14838.08,,,,
861, ANGEL MONTALVO,FL,27421.12,,,,
862, JANELLE PEREZ,FL,224152.2,,,,
863, KEN RUSSELL,FL,1790780.72,,,,
864, EILEEN HIGGINS,FL,0.0,,,,
865, ANNETTE TADDEO,FL,1851329.79,,,FL-27,97
866, KRISTEN ROSEN GONZALEZ,FL,8737.17,,,,
867, JOSE JAVIER RODRIGUEZ,FL,636.0,,,,
868, DAVID RICHARDSON,FL,-134.69,,,,
869, KEN RUSSELL,FL,1958.18,,,,
870, FRANK POLO,FL,25206.22,,,FL-22,61
871, GABRIEL A FERRER,FL,353.0,,,,
872, MARIA ELVIRA SALAZAR,FL,5578993.99,,,FL-27,93
873, ROBERT ASENCIO,FL,105813.33,,,FL-28,97
874, CARLOS GIMENEZ,FL,1316225.33,,,FL-28,88
875, JEREMIAH SCHAFFER,FL,30244.98,,,,
876, CARLOS A MR MARTINEZ GARIN,FL,22315.87,,,,
877, SOURAYA FAAS,FL,0.0,,,,
878, JOYCE MARIE GRIGGS,GA,44856.37,,,,
879, WADE WILKES MR. II HERRING,GA,1391152.16,,,GA-1,62
880, JOSEPH PALIMENO,GA,0.0,,,,
881, MICHELLE MUNROE,GA,88178.66,,,,
882, LISA M. MS. RING,GA,0.0,,,,
883, DANIEL MERRITT,GA,89.7,,,,
884, EARL LEROY CARTER,GA,1968013.19,,,GA-1,70
885, SANFORD BISHOP,GA,3075964.33,,,GA-2,97
886, JOSEPH O'HARA,GA,5220.0,,,,
887, DONALD EUGENE COLE,GA,2302.22,,,,
888, TRACY TAYLOR,GA,1846.0,,,,
889, CHRISTOPHER CHRIS WEST,GA,998457.24,,,GA-2,61
890, ARTHUR WAYNE JOHNSON,GA,593025.15,,,,
891, RICHARD M ROBERTSON,GA,21878.62,,,,
892, JEREMY HUNT,GA,989880.06,,,,
893, VIVIAN LOUISE CHILDS,GA,21127.86,,,,
894, VALBRUN DR. ALMONORD,GA,50974.16,,,GA-3,73
895, MICHAEL ROBERT CRANE,GA,0.0,,,,
896, JARED CRAIG,GA,41657.58,,,,
897, ANDERSON DREW IV FERGUSON,GA,3346819.27,,,GA-3,67
898, HENRY C. 'HANK' JOHNSON,GA,650429.83,,,GA-4,82
899, JOHSIRA C MRS CRUZ,GA,0.0,,,,
900, SURREA MRS. IVY,GA,0.0,,,,
901, NIKEMA NATASSHA WILLIAMS,GA,1316110.02,,,GA-5,75
902, KWANZA HALL,GA,23805.06,,,,
903, ROBERT DR. FRANKLIN,GA,30301.34,,,,
904, VALENCIA STOVALL,GA,7322.42,,,,
905, CHARLOTTE MACBAGITO,GA,8220.0,,,,
906, JOHN R LEWIS,GA,2761148.87,,,,
907, ANGELA STANTON KING,GA,8021.31,,,,
908, CHRISTIAN GERARD ZIMM,GA,24845.22,,,GA-5,78
909, WAYNE C WHITE,GA,5673.96,,,,
910, ROBERT FRANKLIN MR. III CHRISTIAN,GA,319048.18,,,,
911, KIMBERLY ANN CLARK REUTER,GA,4227.06,,,,
912, T. JONATHAN OSSOFF,GA,182862.17,,,,
913, RICHARD KEATLEY,GA,0.0,,,,
914, BOBBY KAPLE,GA,0.0,,,,
915, STEVEN KNIGHT GRIFFIN,GA,0.0,,,,
916, NICOLE RODDEN,GA,7800.22,,,,
917, BLAKE HARBIN,GA,227211.73,,,,
918, MYKEL LYNN BARTHELEMY,GA,0.0,,,,
919, PAULETTE MISS SMITH,GA,2138.89,,,,
920, RICHARD DEAN DR. MCCORMICK,GA,4408368.92,,,GA-6,68
921, HAROLD EARLS,GA,488639.39,,,,
922, ERIC MICHAEL WELSH,GA,29594.86,,,,
923, MARY MALLORY STAPLES,GA,807367.67,,,,
924, JAKE EVANS,GA,1992683.62,,,,
925, MEAGAN MYERS HANSON,GA,525478.29,,,,
926, SUSAN VOYLES,GA,136897.08,,,,
927, BYRON GATEWOOD,GA,106651.0,,,,
928, EUGENE YU,GA,70672.38,,,,
929, JOSEPH REV. PROFIT,GA,0.0,,,,
930, BOB GRAY,GA,68.21,,,,
931, KAREN CHRISTINE HANDEL,GA,47357.24,,,,
932, NABILAH AISHAH ISLAM,GA,4571.28,,,,
933, JOHN H DR. EAVES,GA,0.0,,,,
934, ZAHRA S. KARINSHAK,GA,62192.29,,,,
935, DONNA THERESA MS. MCLEOD,GA,67604.0,,,,
936, LUCIA KAY MS. MCBATH,GA,4938193.28,,,GA-7,69
937, CAROLYN BOURDEAUX,GA,3375738.56,,,,
938, MARK GONSALVES,GA,564475.64,,,GA-13,67
939, LISA NOEL DR. BABBAGE,GA,3196.0,,,,
940, ELFREDA DESVIGNES,GA,11877.43,,,,
941, MICHAEL CORBIN,GA,17110.58,,,,
942, YAHANSEH YG NYGHTSTORM GEORGE,GA,64363.62,,,,
943, LISA MCCOY,GA,10283.73,,,,
944, MARY WEST,GA,82610.92,,,,
945, DARRIUS MAURICE BUTLER,GA,24160.05,,,GA-8,76
946, JAMES AUSTIN SCOTT,GA,767855.97,,,GA-8,77
947, MICHAEL MR. REECE,GA,0.0,,,,
948, JAMES L III COOPER,GA,700.85,,,,
949, MARK MOSLEY,GA,123.16,,,GA-7,69
950, MICHAEL C. MR. FORD,GA,38718.49,,,GA-9,72
951, JOSHUA BRAXTON MCCALL,GA,192.0,,,,
952, KEVIN TANNER,GA,3828.33,,,,
953, MATT GURTLER,GA,904.53,,,,
954, ANDREW CLYDE,GA,702363.61,,,GA-9,96
955, CHRISTOPHER U MD CATES,GA,0.0,,,,
956, DOUGLAS ALLEN COLLINS,GA,5600.11,,,,
957, BENJAMIN ODUM SOUTHER,GA,97571.7,,,,
958, JON GREGORY HOWARD,GA,7065.52,,,,
959, PHYLLIS D HATCHER,GA,35361.62,,,,
960, JESSICA ALLISON FORE,GA,6220.0,,,,
961, CHALIS POMEROY MONTGOMERY,GA,0.0,,,,
962, TABITHA JOHNSON-GREEN,GA,48389.65,,,GA-10,98
963, JODY HICE,GA,250464.54,,,,
964, STEPHEN K MR. SIMPSON,GA,0.0,,,,
965, MARC MCMAIN,GA,667444.2,,,,
966, TIMOTHY BARR,GA,662916.17,,,,
967, ANDREW ALVEY,GA,2173.74,,,GA-9,72
968, DAVID CURRY,GA,709674.0,,,GA-13,61
969, ALAN SIMS,GA,703865.17,,,,
970, MITCHELL SWAN,GA,301988.0,,,,
971, PATRICK J WITT,GA,553643.1,,,,
972, MATT RICHARDS,GA,326790.94,,,,
973, TODD HEUSSNER,GA,16645.0,,,,
974, VERNON JONES,GA,532489.09,,,,
975, MICHAEL A JR COLLINS,GA,1252497.79,,,GA-10,67
976, PAUL BROUN,GA,534681.58,,,,
