,CAND_NAME,CAND_OFFICE_ST,TTL_DISB,Percent,Party,district,fuzz
486, JOAQUIN VAZQUEZ,CA,6070.94,,,,
487, JAMES DEBELLO,CA,15147.28,,,,
488, RICHARD BAILEY,CA,402271.98,,,,
489, TYLER GEFFENEY,CA,25666.62,,,CA-52,97.0
490, SUSAN A. DAVIS,CA,53365.18,,,,
491, GEORGETTE GOMEZ,CA,26344.19,,,,
492, ERIC ROGER KUTNER,CA,29.16,,,,
493, BILL D. WELLS,CA,18074.44,,,,
494, CRISANTA DESIRAE DURAN,CO,2339.0,,,,
495, NEAL WALIA,CO,193177.69,,,,
496, DIANA L DEGETTE,CO,1027803.67,,,CO-1,90.0
497, SHANE BOLLING,CO,30.0,,,,
498, DOM WATERS,CO,3907.25,,,,
499, JOSEPH NEGUSE,CO,1337156.99,,,CO-2,83.0
500, KRISTOPHER WILLIAM DR. LARSEN,CO,0.0,,,,
501, MARSHALL DAWSON,CO,34698.33,,,CO-2,97.0
502, STEPHEN ANDREW YURASH,CO,41312.49,,,,
503, DONALD VALDEZ,CO,336777.27,,,,
504, COLIN WILHELM,CO,275892.91,,,,
505, GREGG HARRISON SMITH,CO,61203.99,,,,
506, KERRY DONOVAN,CO,1583535.05,,,,
507, SOLEDAD SANDOVAL TAFOYA,CO,977522.63,,,,
508, DEBORA LYNN BURNETT,CO,250673.8,,,,
509, KELLIE RHODES,CO,14084.25,,,,
510, COLIN BUERGER,CO,86190.95,,,,
511, SCOTT YATES,CO,85240.96,,,,
512, ADAM FRISCH,CO,6155634.45,,,CO-3,96.0
513, DIANE MITSCH MS. BUSH,CO,29352.97,,,,
514, ROOT ROUTLEDGE,CO,935.16,,,,
515, LAUREN BOEBERT,CO,7157209.74,,,CO-3,97.0
516, MARINA ZIMMERMAN,CO,42385.03,,,,
517, DON CORAM,CO,210001.2,,,,
518, SCOTT R. TIPTON,CO,27678.16,,,,
519, KRISTIN ELISE SKOWRONSKI,CO,4953.78,,,,
520, ISAAC IAN MCCORKLE,CO,267803.82,,,CO-4,65.0
521, CORY GARDNER,CO,79357.32,,,,
522, BOB LEWIS,CO,42710.0,,,,
523, KENNETH R BUCK,CO,1276334.63,,,CO-4,70.0
524, SANTIAGO DAVID GOENAGA-TORRES,CO,21776.83,,,,
525, JEREMY J DOWELL,CO,2268.29,,,,
526, MICHAEL CHRISTOPHER MR COLOMBE,CO,7079.8,,,,
527, STEPHANY ROSE SPAULDING,CO,606.0,,,,
528, REBECCA KELTIE,CO,8994.23,,,,
529, DAVID WILLIAMS,CO,216456.61,,,,
530, ANDREW DAVID HEATON,CO,13921.09,,,,
531, DOUGLAS LAMBORN,CO,729903.02,,,CO-5,86.0
532, CHRISTOPHER MITCHELL,CO,165.0,,,,
533, MARCUS MURPHY,CO,645.91,,,,
534, PERRY HANEY,CO,0.0,,,,
535, JASON CROW,CO,2376329.75,,,CO-6,95.0
536, JAIMIE KULIKOWSKI,CO,0.0,,,,
537, STEVEN HOUSE,CO,1468.37,,,,
538, BRIAN SMITH,CO,0.0,,,,
539, STEVEN EDWARD MONAHAN,CO,258207.39,,,CO-6,78.0
540, WILLIAM L III ARMSTRONG,CO,0.0,,,,
541, ERIC MULDER,CO,5257.41,,,,
542, KYLE ALEXANDER FAUST,CO,372.0,,,,
543, EDWIN G PERLMUTTER,CO,1113621.89,,,,
544, BRITTANY LOUISE MS. PETTERSEN,CO,2865701.44,,,CO-7,75.0
545, DOMINICK MORENO,CO,2600.0,,,,
546, CASPER WESLEY STOCKHAM,CO,0.0,,,,
547, LAUREL ANNE IMER,CO,88399.74,,,,
548, ERIK AADLAND,CO,1472390.01,,,CO-7,96.0
549, CARL E ANDERSEN,CO,264851.05,,,,
550, TIM REICHERT,CO,1585826.05,,,,
551, BRAD DEMPSEY,CO,263796.72,,,,
552, YADIRA CARAVEO,CO,3502839.96,,,CO-8,97.0
553, CHAZ TEDESCO,CO,232519.95,,,,
554, JOHNNY HUMPHREY,CO,14471.92,,,,
555, STEVE DOUGLAS DOUGLAS,CO,5554.88,,,,
556, GIULIANNA GRAY,CO,56884.77,,,,
557, LORI A SAINE,CO,371173.1,,,,
558, BARBARA KIRKMEYER,CO,1554471.64,,,CO-8,97.0
559, JANIFER SUZANNE KULMANN,CO,499430.44,,,,
560, TYLER ALLCORN,CO,357200.13,,,,
561, TIMOTHY LOUIS LONG,CO,8401.14,,,,
562, ANDREW JOSEPH LEGNANI,CT,4194.48,,,,
563, MUAD HREZI,CT,586637.43,,,,
564, JOHN B LARSON,CT,1839194.58,,,CT-1,93.0
565, MARY FAY,CT,1718.28,,,,
566, JIM GRIFFIN,CT,1874.3,,,,
567, LAWRENCE ZIDOVSKY DR LAZOR,CT,190652.21,,,,
568, JOSEPH B VISCONTI,CT,0.0,,,,
569, JOSEPH COURTNEY,CT,2491289.77,,,CT-2,86.0
570, ANTHONY ADELINO MR. DILIZIA,CT,4517.0,,,,
571, JUSTIN ANDERSON,CT,1460.29,,,,
572, MIKE FRANCE,CT,853174.8,,,CT-2,96.0
573, ROSA L DELAURO,CT,2176815.14,,,CT-3,93.0
574, JERRY JR. LABRIOLA,CT,0.0,,,,
575, MARGARET STREICKER,CT,1599.75,,,,
576, LESLEY DENARDIS,CT,46977.86,,,CT-3,97.0
577, PHD  JUSTIN COBB DR MD PAGLINO,CT,16406.94,,,,
578, AMY FOGELSTROM DR CHAI,CT,33875.08,,,,
579, JIM HIMES,CT,1802745.31,,,CT-4,95.0
580, MICHAEL GOLDSTEIN,CT,235844.17,,,,
581, JAYME MRS. STEVENSON,CT,336547.83,,,CT-4,83.0
582, CHRISTOPHER SHAYS,CT,225.0,,,,
583, DANIEL FRANCIS ROBERTI,CT,3091.8,,,,
584, ELIZABETH ESTY,CT,11770.73,,,,
585, MARCUS FURZE,CT,1351.43,,,,
586, MARY GLASSMAN,CT,0.0,,,,
587, JAHANA HAYES,CT,3403663.9,,,CT-5,96.0
588, SHANNON KULA,CT,180.0,,,,
589, DAVID XAVIER SULLIVAN,CT,774.88,,,,
590, GEORGE S LOGAN,CT,1285255.66,,,CT-5,89.0
591, MICHELLE L BOTELHO,CT,2809.26,,,,
592, JAMES LEONARD GRIFFIN,CT,151.75,,,,
593, ELEANOR HOLMES NORTON,DC,320795.31,,,,
594, WENDY REV HAMILTON,DC,50532.49,,,,
595, KELLY MIKEL WILLIAMS,DC,22702.73,,,,
596, BRUCE POWELL MR. MAJORS,DC,1929.25,,,,
598, LISA BLUNT ROCHESTER,DE,3209566.58,,,DE-1,98.0
600, LEE MURPHY,DE,355131.66,,,DE-1,95.0
601, VINCENT DEAN MR JR CORDOVA,FL,0.0,,,,
602, REBEKAH JONES,FL,979519.0,,,FL-1,96.0
603, MARGARET ANN MS SCHILLER,FL,40994.16,,,,
604, PHILLIP CHARLES EHR,FL,138060.28,,,,
605, GREGORY CHARLES CHARLES MERK,FL,10440.0,,,,
606, BRYAN CHRISTOPHER JONES,FL,103213.42,,,,
607, MARK LOMBARDO,FL,789690.0,,,,
608, MATT GAETZ,FL,7539779.55,,,FL-1,95.0
609, RALPH JOHN III MILLS,FL,7172.26,,,,
610, ALBERT ORAM,FL,1038.5,,,,
611, ALFRED JR LAWSON,FL,940453.28,,,FL-2,69.0
612, FACS  NEAL PATRICK MD DUNN,FL,1937935.45,,,,
613, LINDA SUSAN MS. BROOKS,FL,131149.47,,,,
614, ADAM J CHRISTENSEN,FL,903.5,,,,
615, DANIELLE NICOLE HAWK,FL,49881.27,,,FL-3,76.0
616, TOM BECKWITH DR. WELLS,FL,27747.44,,,,
617, DEAN A BLACK,FL,20730.12,,,,
618, AMY POPE WELLS,FL,1690.47,,,,
619, KAT CAMMACK,FL,2259933.75,,,FL-3,96.0
620, JAMES ST. GEORGE,FL,0.0,,,,
621, RYAN MR. CHAMBERLIN,FL,3346.25,,,,
622, CHARLES WILLIAM MR ENGELBRECHT,FL,2453.75,,,,
623, DAVID THEUS,FL,0.0,,,,
624, JOE DALLAS MILLADO,FL,1954.92,,,,
625, JUSTIN JAMES MR. WATERS,FL,15894.0,,,,
626, MANUEL P ASENSIO,FL,44645.18,,,,
627, THEODORE SCOTT YOHO,FL,49951.85,,,,
628, JUDSON SAPP,FL,7400.0,,,,
629, CLIFFORD B. STEARNS,FL,731295.78,,,,
630, ANTHONY TONY HILL,FL,35796.51,,,,
631, LASHONDA J HOLLOWAY,FL,0.0,,,FL-4,86.0
632, ERICK JAVIER AGUILAR,FL,822308.28,,,,
633, JASON FISCHER,FL,52201.0,,,FL-16,67.0
634, AARON P. BEAN,FL,1065302.38,,,FL-4,83.0
635, JON CHUBA,FL,17053.44,,,,
636, DEBORAH KATZ PUESCHEL,FL,0.0,,,,
637, ALVIN BROWN,FL,0.0,,,,
638, LEIGHA LUNA GARNER-LOPEZ,FL,53806.39,,,,
639, MARA HEATHER MACIE,FL,21429.11,,,,
640, JOHN RUTHERFORD,FL,647267.7,,,FL-5,97.0
641, RICHARD THRIPP,FL,7369.87,,,,
642, NANCY SODERBERG,FL,1836.4,,,,
643, G.G. GALLOWAY,FL,0.0,,,,
644, MICHAEL WALTZ,FL,2906229.83,,,FL-6,96.0
645, ALLEK PASTRANA,FL,12585.71,,,,
646, AL MR. KRULICK,FL,18576.83,,,,
647, HLSIA TATIANA FERNANDEZ,FL,14074.31,,,,
648, KAREN REV. DR. GREEN,FL,32406.6,,,FL-7,69.0
649, STEPHANIE MURPHY,FL,1690268.65,,,,
650, LEO VALENTIN,FL,17076.15,,,,
651, YUKONG ZHAO,FL,2956.67,,,,
652, SEAN JACKSON,FL,2650.0,,,,
653, JEREMY LIGGETT,FL,28762.38,,,,
654, CORY MILLS,FL,2477531.68,,,FL-7,95.0
655, BRADY DUKE,FL,3114603.15,,,,
656, JOSEPH CAVAGNA,FL,11988.32,,,,
657, ERIKA BENFIELD,FL,193041.14,,,,
658, SCOTT STURGILL,FL,306460.54,,,,
659, RUSSELL L. MR. ROBERTS,FL,332570.88,,,,
660, AL SANTOS,FL,273893.72,,,,
661, TED EDWARDS,FL,810430.0,,,,
662, ANTHONY SABATINI,FL,1252235.93,,,,
663, MARK BUSCH,FL,0.0,,,,
664, JONATHAN SCOTT STURGILL,FL,5300.0,,,,
665, AL KRULICK,FL,18576.83,,,,
666, JAMES KENNEDY,FL,1495.69,,,,
667, JOANNE R TERRY,FL,89159.95,,,FL-8,89.0
668, DANELLE DODGE,FL,76854.98,,,,
669, PHD MD  DENA MD GRAYSON,FL,1756.44,,,,
670, PATRICK LEE WELLS,FL,510.37,,,,
671, BILL POSEY,FL,704024.01,,,FL-8,95.0
672, KEVIN COPELAND PARKER,FL,7500.71,,,,
673, DARREN SOTO,FL,1410179.97,,,FL-9,96.0
674, SERGIO E ORTIZ,FL,5677.88,,,,
675, WILLIAM OLSON,FL,151085.47,,,,
676, JOSE CASTILLO,FL,107828.37,,,,
677, CHRISTOPHER ROBERT WRIGHT,FL,590.94,,,,
678, BECKY E HITES,FL,0.0,,,,
679, SCOTTY MOORE,FL,599213.36,,,FL-9,96.0
680, MARLIN DANIEL ANTHONY,FL,32450.23,,,,
681, ADIANIS MORALES,FL,19269.6,,,,
682, VALDEZ 'VAL' DEMINGS,FL,81065470.43,,,,
683, NATALIE JACKSON,FL,110805.47,,,,
684, ARAMIS AYALA,FL,205978.54,,,,
685, RANDOLPH BRACY,FL,545956.89,,,,
686, JACK JOSEPH ACHENBACH,FL,5860.99,,,,
687, TERENCE R MR. I GRAY,FL,334265.25,,,,
688, TERESA DR. TACHON,FL,10681.84,,,,
689, MAXWELL ALEJANDRO FROST,FL,2582449.9,,,FL-10,98.0
690, JEFFREY MR. BOONE,FL,48817.62,,,,
691, CORRINE BROWN,FL,75316.42,,,,
692, ALAN MARK GRAYSON,FL,856254.54,,,,
693, WILLIE MONTAGUE,FL,211039.41,,,,
694, LATERESA ANN JONES,FL,17683.07,,,,
695, TUAN A LE,FL,35598.08,,,,
696, MAHENDRANATH TROY RAMBARANSINGH,FL,11879.28,,,,
697, WILLIAM KING,FL,698.14,,,,
698, CALVIN B MR WIMBISH,FL,249144.76,,,FL-10,86.0
699, PETER WEED,FL,19350.0,,,,
700, THUY LOWE,FL,31993.23,,,,
701, VENNIA V. FRANCOIS,FL,10298.96,,,,
702, JASON KYLE HOLIC,FL,10419.38,,,,
703, USHA DR. JAIN,FL,4468.09,,,,
704, SHANTE MUNNS,FL,20677.59,,,FL-11,96.0
705, DANIEL WEBSTER,FL,754477.27,,,FL-11,97.0
706, TONY BUNTYN,FL,0.0,,,,
707, LAURA LOOMER,FL,872308.62,,,FL-15,61.0
708, GAVRIEL ELIYAHU SORIANO,FL,26393.86,,,,
709, JEANNETTE RENEE SKINNER,FL,28889.71,,,,
710, KEVIN DEAN PORTER,FL,14732.39,,,,
711, KIMBERLY H MS WALKER,FL,21911.66,,,FL-12,83.0
712, MICHAEL CARNEVALE,FL,5529.12,,,FL-6,65.0
713, CHRISTOPHER MR. LEISER,FL,17282.7,,,,
714, GUS M BILIRAKIS,FL,1770681.59,,,FL-12,81.0
715, JACK MARTIN,FL,1752.98,,,,
716, BEN DIAMOND,FL,793556.3,,,,
717, MICHELE K. MS. RAYNER,FL,566663.51,,,,
718, ERIC LYNN,FL,2071108.94,,,FL-13,95.0
719, CHARLIE JOSEPH CRIST,FL,862258.48,,,,
720, SHEILA GRIFFIN,FL,0.0,,,,
721, AMANDA MAKKI,FL,827597.15,,,,
722, ANNA PAULINA LUNA,FL,3362825.07,,,FL-13,97.0
723, WILL BRADDOCK,FL,0.0,,,,
724, MONEER KHEIREDDINE,FL,15075.0,,,,
725, AUDREY HENSON,FL,317931.35,,,,
726, KEVIN HAYSLETT,FL,1729097.32,,,,
727, CHRISTINE YVONNE QUINN,FL,45668.12,,,,
728, GEORGE WILLIAM PHD BUCK,FL,2447.34,,,,
729, FRANK S CRAFT,FL,15522.03,,,,
730, LUCAS OVERBY,FL,0.0,,,,
731, CHRISTOPHER BRADLEY,FL,32809.86,,,,
732, KATHY CASTOR,FL,1623822.77,,,FL-14,96.0
733, ANGEL SALVADOR URBINA,FL,5075.0,,,,
734, JAMES JUDGE,FL,214963.79,,,FL-14,96.0
735, SAM NASHAGH,FL,17530.93,,,,
736, CHRIS CHAMBERS,FL,10571.0,,,,
737, JERRY TORRES,FL,654224.67,,,,
738, JESSE PHILIPPE,FL,7214.87,,,,
739, ADAM ROGER HATTERSLEY,FL,2960.29,,,,
740, WILLIAM VANHORN,FL,19232.14,,,,
741, LILAWATIE LILY MRS. RAMCHARRAN,FL,14784.26,,,,
742, EDDIE GELLER,FL,554194.09,,,,
743, GAVIN BROWN,FL,26646.0,,,,
744, CESAR RAMIREZ,FL,10701.31,,,,
745, ALAN COHN,FL,855791.84,,,FL-15,82.0
746, DENNIS ALAN ROSS,FL,192471.0,,,,
747, KEVIN JOHN MCGOVERN,FL,491044.52,,,,
748, JACKIE TOLEDO,FL,598775.29,,,,
749, DENNIS ROSS,FL,192471.0,,,,
750, KELLI STARGEL,FL,360993.0,,,,
751, LAUREL MRS. LEE,FL,1412802.82,,,FL-15,77.0
752, VINCENT ROSS SPANO,FL,26434.62,,,,
753, DEMETRIES ANDREW CDR USN RET GRIMES,FL,421920.23,,,,
754, MARGARET ELIZABETH ROWELL GOOD,FL,4155.46,,,,
755, JAN SCHNEIDER,FL,45817.98,,,FL-16,96.0
756, MARTIN HYDE,FL,218209.79,,,,
757, MARK A FOLEY,FL,501509.37,,,,
758, VERNON BUCHANAN,FL,3173994.96,,,FL-16,90.0
759, ALLEN ELLISON,FL,96175.11,,,FL-2,61.0
760, ANDREA DORIA KALE,FL,23269.4,,,FL-17,97.0
761, ALLEN L ELLISON,FL,82834.52,,,,
762, GREG STEUBE,FL,947188.1,,,FL-17,96.0
763, PAMELA M. KEITH,FL,8123.24,,,,
764, JONATHAN CHANE,FL,0.0,,,,
765, SCOTT MR. FRANKLIN,FL,766695.11,,,FL-18,85.0
766, GEORGE SHEPHERD,FL,2512.26,,,,
767, JENNIFER SUSAN RAYBON,FL,137733.54,,,,
768, WENDY JUNE MS. SCHMELING,FL,23238.38,,,,
769, LEONARD LOUIS MR. SERRATORE,FL,33821.71,,,,
770, CARLA ARLENE SPALDING,FL,1960876.32,,,FL-25,78.0
771, KEITH R. JR HAYDEN,FL,0.0,,,FL-18,79.0
772, CINDY LYN BANYAI,FL,99369.13,,,FL-19,83.0
773, WILLIAM MATTHEW MD FIGLESTHALER,FL,15490.52,,,,
774, FORD O'CONNELL,FL,26579.13,,,,
775, CASEY ASKAR,FL,21.5,,,,
776, BYRON DONALDS,FL,5400519.91,,,FL-19,96.0
777, JIM HUFF,FL,18050.74,,,,
778, LIZBETH BENACQUISTO,FL,0.0,,,,
779, FRANCIS ROONEY,FL,6731.49,,,,
780, PRADEL VILME,FL,52750.0,,,,
781, BARBARA SHARIEF,FL,1021180.52,,,,
782, ELVIN DOWLING,FL,78323.81,,,,
783, DALE HOLNESS,FL,1202144.8,,,,
784, PRISCILLA ANN TAYLOR,FL,66410.21,,,,
785, PERRY THURSTON,FL,548962.59,,,,
786, BOBBY B DUBOSE,FL,434582.35,,,,
787, OMARI HARDY,FL,206765.95,,,,
788, PHIL JACKSON,FL,21643.95,,,,
789, ALCEE L HASTINGS,FL,150681.66,,,,
790, SHEILA CHERFILUS-MCCORMICK,FL,6815741.15,,,FL-20,98.0
791, GREGORY WAYNE SR. MUSSELWHITE,FL,15968.64,,,,
792, VIC DEGRAMMONT,FL,26462.72,,,,
793, JASON MARINER,FL,127101.6,,,,
794, DREW-MONTEZ DR. CLARK,FL,141482.18,,,FL-20,82.0
795, MICHAEL TER MAAT,FL,50469.73,,,FL-6,67.0
796, CORINNA BALDERRAMOS ROBINSON,FL,66504.32,,,FL-21,98.0
797, AARON SCANLAN,FL,0.0,,,FL-4,67.0
798, MELISSA MARTZ,FL,343424.84,,,,
799, KEITH DR. FEIT,FL,15651.19,,,,
800, JEFFREY D BUONGIORNO,FL,262684.65,,,,
801, LJUBO DR SKRBIC,FL,32469.64,,,,
802, MARTIN J. MARKS,FL,189872.94,,,,
803, BRIAN MAST,FL,5218760.88,,,FL-21,95.0
804," W. MICHAEL ""MIKE"" TROUT",FL,1263.95,,,,
805, CHARLESTON MALKEMUS,FL,441.46,,,,
806, THEODORE ELIOT DEUTCH,FL,673921.42,,,,
807, LOIS J. FRANKEL,FL,1799753.83,,,FL-22,86.0
808, CURTIS CALABRESE,FL,10021.63,,,,
809, DARLENE SWAFFAR,FL,0.0,,,,
810, FRAN FLYNN,FL,2159.7,,,,
811, ROD MR. DORILAS,FL,576672.53,,,,
812, DANIEL JOHN FRANZESE,FL,1606217.92,,,FL-22,73.0
813, DEBORAH ADEIMY,FL,202087.17,,,,
814, PETER STEVEN ARIANAS,FL,59545.89,,,,
815, WILLIAM WHEELEN,FL,37908.73,,,,
816, CARRIE LAWLOR,FL,17689.75,,,,
817, MICHAEL JOSEPH O'ROURKE,FL,0.0,,,,
818, NICOLAS T MR. KIMAZ,FL,180.67,,,,
819, EDDISON T DR. WALTERS,FL,0.0,,,,
820, JENNIFER PILCHICK PERELMAN,FL,257.4,,,,
821, JARED MOSKOWITZ,FL,1651890.16,,,FL-23,97.0
822, BEN SORENSEN,FL,824156.81,,,,
823, HAVA HOLZHAUER,FL,116715.41,,,,
824, MICHAELANGELO COLLINS HAMILTON,FL,10979.99,,,,
825, W MICHAEL TROUT,FL,1263.95,,,FL-6,62.0
826, ALLEN ELLISON,FL,13340.59,,,FL-2,61.0
827, JAMES L. PRUDEN,FL,230558.76,,,FL-14,67.0
828, RICHARD MENDELSON,FL,560.0,,,,
829," JOSEPH ""JOE"" KAUFMAN",FL,1328.85,,,FL-6,62.0
830, CHRISTY MCLAUGHLIN,FL,25999.29,,,,
831, STEVEN CHESS,FL,84295.49,,,,
832, DARLENE SWAFFAR,FL,271747.22,,,,
833, JOE BUDD,FL,171126.62,,,FL-23,94.0
834, MYLES PERRONE,FL,12601.11,,,,
835, LEWIS SWEZY,FL,0.0,,,,
836, CARLOS JOSE JR. REYES,FL,0.0,,,,
837, CHRISTINE SCOTT,FL,102745.14,,,,
838, MARK NOAH NAPIER,FL,28535.94,,,,
839, FREDERICA S. WILSON,FL,472132.57,,,FL-24,89.0
840, KEVIN COREY HARRIS,FL,18418.85,,,,
841, AUDREY EDMONSON,FL,33280.82,,,,
842, LAVERN SPICER,FL,288523.61,,,,
843, MELINDA ALMONTE,FL,11025.0,,,,
844, PATRICIA GONZALEZ,FL,48.1,,,,
845, JESUS NAVARRO,FL,15910.7,,,FL-24,87.0
846, CHRISTINE ALEXANDRIA OLIVO,FL,131107.15,,,FL-26,98.0
847, ADAM GENTLE,FL,91600.44,,,,
848, ROBERT MILLWEE,FL,20820.18,,,,
849, DEBBIE WASSERMAN SCHULTZ,FL,1863026.33,,,FL-25,98.0
850, MARY BARZEE FLORES,FL,0.0,,,,
851, DARREN DIONE MR. AQUINO,FL,25300.43,,,,
852, CARLA A SPALDING,FL,1960876.32,,,FL-25,90.0
853, RUBIN MR. YOUNG,FL,17697.74,,,,
854, CHRISTINE ALEXANDRIA OLIVO,FL,131107.15,,,FL-26,98.0
855, DEBBIE MUCARSEL-POWELL,FL,22406.65,,,,
856, DAVID RIVERA,FL,870.78,,,,
857, MARIO DIAZ-BALART,FL,1467060.43,,,FL-26,97.0
858, RUTH ANN SWANSON,FL,4266.52,,,,
859, DENNIS MISIGOY,FL,14838.08,,,,
860, ANGEL MONTALVO,FL,27421.12,,,,
861, JANELLE PEREZ,FL,224152.2,,,,
862, KEN RUSSELL,FL,1790780.72,,,,
863, EILEEN HIGGINS,FL,0.0,,,,
864, ANNETTE TADDEO,FL,1851329.79,,,FL-27,97.0
865, KRISTEN ROSEN GONZALEZ,FL,8737.17,,,,
866, JOSE JAVIER RODRIGUEZ,FL,636.0,,,,
867, DAVID RICHARDSON,FL,-134.69,,,,
868, KEN RUSSELL,FL,1958.18,,,,
869, FRANK POLO,FL,25206.22,,,FL-22,61.0
870, GABRIEL A FERRER,FL,353.0,,,,
871, MARIA ELVIRA SALAZAR,FL,5578993.99,,,FL-27,93.0
872, ROBERT ASENCIO,FL,105813.33,,,FL-28,97.0
873, CARLOS GIMENEZ,FL,1316225.33,,,FL-28,88.0
874, JEREMIAH SCHAFFER,FL,30244.98,,,,
875, CARLOS A MR MARTINEZ GARIN,FL,22315.87,,,,
876, SOURAYA FAAS,FL,0.0,,,,
877, JOYCE MARIE GRIGGS,GA,44856.37,,,,
878, WADE WILKES MR. II HERRING,GA,1391152.16,,,GA-1,62.0
879, JOSEPH PALIMENO,GA,0.0,,,,
880, MICHELLE MUNROE,GA,88178.66,,,,
881, LISA M. MS. RING,GA,0.0,,,,
882, DANIEL MERRITT,GA,89.7,,,,
883, EARL LEROY CARTER,GA,1968013.19,,,GA-1,70.0
884, SANFORD BISHOP,GA,3075964.33,,,GA-2,97.0
885, JOSEPH O'HARA,GA,5220.0,,,,
886, DONALD EUGENE COLE,GA,2302.22,,,,
887, TRACY TAYLOR,GA,1846.0,,,,
888, CHRISTOPHER CHRIS WEST,GA,998457.24,,,GA-2,61.0
889, ARTHUR WAYNE JOHNSON,GA,593025.15,,,,
890, RICHARD M ROBERTSON,GA,21878.62,,,,
891, JEREMY HUNT,GA,989880.06,,,,
892, VIVIAN LOUISE CHILDS,GA,21127.86,,,,
893, VALBRUN DR. ALMONORD,GA,50974.16,,,GA-3,73.0
894, MICHAEL ROBERT CRANE,GA,0.0,,,,
895, JARED CRAIG,GA,41657.58,,,,
896, ANDERSON DREW IV FERGUSON,GA,3346819.27,,,GA-3,67.0
897, HENRY C. 'HANK' JOHNSON,GA,650429.83,,,GA-4,82.0
898, JOHSIRA C MRS CRUZ,GA,0.0,,,,
899, SURREA MRS. IVY,GA,0.0,,,,
900, NIKEMA NATASSHA WILLIAMS,GA,1316110.02,,,GA-5,75.0
901, KWANZA HALL,GA,23805.06,,,,
902, ROBERT DR. FRANKLIN,GA,30301.34,,,,
903, VALENCIA STOVALL,GA,7322.42,,,,
904, CHARLOTTE MACBAGITO,GA,8220.0,,,,
905, JOHN R LEWIS,GA,2761148.87,,,,
906, ANGELA STANTON KING,GA,8021.31,,,,
907, CHRISTIAN GERARD ZIMM,GA,24845.22,,,GA-5,78.0
908, WAYNE C WHITE,GA,5673.96,,,,
909, ROBERT FRANKLIN MR. III CHRISTIAN,GA,319048.18,,,,
910, KIMBERLY ANN CLARK REUTER,GA,4227.06,,,,
911, T. JONATHAN OSSOFF,GA,182862.17,,,,
912, RICHARD KEATLEY,GA,0.0,,,,
913, BOBBY KAPLE,GA,0.0,,,,
914, STEVEN KNIGHT GRIFFIN,GA,0.0,,,,
915, NICOLE RODDEN,GA,7800.22,,,,
916, BLAKE HARBIN,GA,227211.73,,,,
917, MYKEL LYNN BARTHELEMY,GA,0.0,,,,
918, PAULETTE MISS SMITH,GA,2138.89,,,,
919, RICHARD DEAN DR. MCCORMICK,GA,4408368.92,,,GA-6,68.0
920, HAROLD EARLS,GA,488639.39,,,,
921, ERIC MICHAEL WELSH,GA,29594.86,,,,
922, MARY MALLORY STAPLES,GA,807367.67,,,,
923, JAKE EVANS,GA,1992683.62,,,,
924, MEAGAN MYERS HANSON,GA,525478.29,,,,
925, SUSAN VOYLES,GA,136897.08,,,,
926, BYRON GATEWOOD,GA,106651.0,,,,
927, EUGENE YU,GA,70672.38,,,,
928, JOSEPH REV. PROFIT,GA,0.0,,,,
929, BOB GRAY,GA,68.21,,,,
930, KAREN CHRISTINE HANDEL,GA,47357.24,,,,
931, NABILAH AISHAH ISLAM,GA,4571.28,,,,
932, JOHN H DR. EAVES,GA,0.0,,,,
933, ZAHRA S. KARINSHAK,GA,62192.29,,,,
934, DONNA THERESA MS. MCLEOD,GA,67604.0,,,,
935, LUCIA KAY MS. MCBATH,GA,4938193.28,,,GA-7,69.0
936, CAROLYN BOURDEAUX,GA,3375738.56,,,,
937, MARK GONSALVES,GA,564475.64,,,GA-13,67.0
938, LISA NOEL DR. BABBAGE,GA,3196.0,,,,
939, ELFREDA DESVIGNES,GA,11877.43,,,,
940, MICHAEL CORBIN,GA,17110.58,,,,
941, YAHANSEH YG NYGHTSTORM GEORGE,GA,64363.62,,,,
942, LISA MCCOY,GA,10283.73,,,,
943, MARY WEST,GA,82610.92,,,,
944, DARRIUS MAURICE BUTLER,GA,24160.05,,,GA-8,76.0
945, JAMES AUSTIN SCOTT,GA,767855.97,,,GA-8,77.0
946, MICHAEL MR. REECE,GA,0.0,,,,
947, JAMES L III COOPER,GA,700.85,,,,
948, MARK MOSLEY,GA,123.16,,,GA-7,69.0
949, MICHAEL C. MR. FORD,GA,38718.49,,,GA-9,72.0
950, JOSHUA BRAXTON MCCALL,GA,192.0,,,,
951, KEVIN TANNER,GA,3828.33,,,,
952, MATT GURTLER,GA,904.53,,,,
953, ANDREW CLYDE,GA,702363.61,,,GA-9,96.0
954, CHRISTOPHER U MD CATES,GA,0.0,,,,
955, DOUGLAS ALLEN COLLINS,GA,5600.11,,,,
956, BENJAMIN ODUM SOUTHER,GA,97571.7,,,,
957, JON GREGORY HOWARD,GA,7065.52,,,,
958, PHYLLIS D HATCHER,GA,35361.62,,,,
959, JESSICA ALLISON FORE,GA,6220.0,,,,
960, CHALIS POMEROY MONTGOMERY,GA,0.0,,,,
961, TABITHA JOHNSON-GREEN,GA,48389.65,,,GA-10,98.0
962, JODY HICE,GA,250464.54,,,,
963, STEPHEN K MR. SIMPSON,GA,0.0,,,,
964, MARC MCMAIN,GA,667444.2,,,,
965, TIMOTHY BARR,GA,662916.17,,,,
966, ANDREW ALVEY,GA,2173.74,,,GA-9,72.0
